"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
control_met_depression_criteria,participant_screening,,calc,"Depression score (Control)","if ((isblankormissingcode([cidi_feel_sad_depressed]) and isblankormissingcode([cidi_lost_interest])), """", if (([cidi_feel_sad_depressed]+[cidi_lost_interest])>=1, 1, 0))",,,,,,[case_control]=2,y,,,,,
control_depression_criteria_met,participant_screening,,descriptive,"Thank the participant for taking part in the interview and refer them to a psychiatrist. ",,,,,,,[control_met_depression_criteria]=1,,,,,,
scan_depression_criteria_met,participant_screening,,radio,"<div class=""rich-text-field-label""><p>Did the participant meet the criteria for depression? (Case)<br><br><span style=""font-weight: normal;"">RESULTS FROM THE SCAN ASSESSMENT</span></p></div>","0, No | 1, Yes",,,,,,[case_control]=1,y,,,,,
case_did_not_meet_depression_criteria,participant_screening,,descriptive,"Thank the participant for taking part in the interview. However, they are not eligible for taking part in the survey.",,,,,,,[scan_depression_criteria_met]=0,,,,,,
scan_type_depression_diagnosis,participant_screening,,radio,"Is it a CURRENT or LIFETIME diagnosis?","1, Current | 2, Lifetime",,,,,,[scan_depression_criteria_met]=1,y,,,,,
source_referral,participant_screening,,dropdown,"Source of referral to psychiatric services ","0, Self | 1, General medical | 2, Specialist neurology | 3, Informal",,,,,,[scan_depression_criteria_met]=1,y,,,,,
treatment_setting,participant_screening,,dropdown,"Current treatment setting ","0, Outpatient | 1, Inpatient",,,,,,[scan_depression_criteria_met]=1,y,,,,,
control_selected_from,participant_screening,,dropdown,"From where was the participant chosen to take part in this study?","1, Community | 2,",,,,,,[control_met_depression_criteria]=0,y,,,,,
country,participant_information,,dropdown,Country,"1, Ethiopia | 2, Nigeria",,,,,,,y,,,,,
lang_used_nigeria,participant_information,,dropdown,"Language the questionnaire is being administered in.","1, Igbo | 2, Yoruba | 3, Hausa | 4, Fulani | 5, Other",,,,,,[country]=2,y,,,,,
other_lang_used_nigeria,participant_information,,text,"If Other, Specify",,,,,,,[lang_used_nigeria]=5,y,,,,,
lang_used_ethiopia,participant_information,,dropdown,"Language the questionnaire is being administered in.","1, Amharic",,,,,,[country]=1,y,,,,,
other_lang_used_ethiopia,participant_information,,text,"If Other, specify.",,,,,,,[other_lang_used_ethiopia]=14,y,,,,,
study_site_nigeria,participant_information,,dropdown,"Study Site","1, ABU Zaria | 2, FNPH Kaduna.",,,,,,[country]=2,y,,,,,
study_site_ethiopia,participant_information,,dropdown,"Study site","1, Amanuel Mental Specialized Hospital | 2, Tikur Anbessa (Black Lion) Hospital | 3, Zewditu Memorial Hospital",,,,,,[country]=1,y,,,,,
urban_or_rural,participant_information,,radio,"Place of usual residence","1, Urban | 2, Rural | 3, Semi-urban",,,,,,,y,,,,,
dates_conversions_notes_ethiopia,participant_information,,descriptive,"Please convert all dates from the Ge'ez (Ethiopian) format to the Gregorian calendar format.",,,,,,,[country]=1,,,,,,
enrolment_date,participant_information,,text,"Enrolment date",,,date_dmy,,,,,y,,,,,
date_of_birth_known,participant_information,,dropdown,"Date of birth known?","0, No | 1, Yes",,,,,,,y,,,,,
month_of_birth,participant_information,,text,"<div class=""rich-text-field-label""><p>Month of Birth<br /><br /><span style=""font-weight: normal;"">mm</span></p></div>",,,integer,1,12,y,[date_of_birth_known]=1,y,,,,,
year_of_birth,participant_information,,text,"<div class=""rich-text-field-label""><p>Year of Birth</p> <p><span style=""font-weight: normal;"">yyyy</span></p></div>",,,integer,0,,y,[date_of_birth_known]=1,y,,,,,
estimated_month_of_birth,participant_information,,text,"<div class=""rich-text-field-label""><p>Estimated month of birth<br /><br /><span style=""font-weight: normal;"">mm</span></p></div>",,,integer,1,12,y,[date_of_birth_known]=0,y,,,,,
estimated_year_of_birth,participant_information,,text,"<div class=""rich-text-field-label""><p>Estimated year of birth<br /><br /><span style=""font-weight: normal;"">yyyy</span></p></div>",,,integer,,,y,[date_of_birth_known]=0,y,,,,,
age_at_data_collection,participant_information,,calc,"Age at data collection","if (([date_of_birth_known]=1),(mid([enrolment_date],7,4)-[year_of_birth]), (mid([enrolment_date],7,4)-[estimated_year_of_birth]))",,,,,,,,,,,,
sex,participant_information,,dropdown,"What is the sex of the participant?","0, Female | 1, Male",,,,,,,y,,,,,
ethnicity_ethiopia,participant_information,,dropdown,"What is your ethnicity?","1, Oromo | 2, Amhara | 3, Somali | 4, Tigraway | 5, Sidama | 6, Gurage | 7, Wolaitta | 8, Hadiyya | 9, Afar | 10, Gamo | 11, Gedeo | 12, Silt'e | 13, Kafa | 14, Other",,,,,,[country]=1,y,,,,,
other_ethnicity_ethiopia,participant_information,,text,"If Other, specify.",,,,,,,[ethnicity_ethiopia]=14,y,,,,,
ethnicity_nigeria,participant_information,,dropdown,"What is your ethnicity?","1, Igbo | 2, Yoruba | 3, Hausa | 4, Fulani | 5, Other",,,,,,[country]=2,y,,,,,
other_ethnicity_nigeria,participant_information,,text,"If Other, specify.",,,,,,,[ethnicity_nigeria]=5,y,,,,,
father_ethnicity_nigeria,participant_information,,dropdown,"What is your father's ethnic/tribal affiliation?","1, Igbo | 2, Yoruba | 3, Hausa | 4, Fulani | 5, Other",,,,,,[country]=2,y,,,,,
father_ethnicity_other_nigeria,participant_information,,text,"If Other, specify.",,,,,,,[father_ethnicity_nigeria]=5,,,,,,
father_ethnicity_ethiopia,participant_information,,dropdown,"What is your father's ethnic/tribal affiliation?","1, Oromo | 2, Amhara | 3, Somali | 4, Tigraway | 5, Sidama | 6, Gurage | 7, Wolaitta | 8, Hadiyya | 9, Afar | 10, Gamo | 11, Gedeo | 12, Silt'e | 13, Kafa | 14, Other",,,,,,[country]=1,y,,,,,
other_father_ethnicity_ethiopia,participant_information,,text,"If Other, specify.",,,,,,,[father_ethnicity_ethiopia]=14,y,,,,,
mother_ethnicity_nigeria,participant_information,,dropdown,"What is your mother's ethnic/tribal affiliation?","1, Igbo | 2, Yoruba | 3, Hausa | 4, Fulani | 5, Other",,,,,,[country]=2,y,,,,,
mother_ethnicity_nigeria_other,participant_information,,text,"If Other, specify.",,,,,,,[mother_ethnicity_nigeria]=5,y,,,,,
mother_ethnicity_ethiopia,participant_information,,dropdown,"What is your mother's ethnic/tribal affiliation?","1, Oromo | 2, Amhara | 3, Somali | 4, Tigraway | 5, Sidama | 6, Gurage | 7, Wolaitta | 8, Hadiyya | 9, Afar | 10, Gamo | 11, Gedeo | 12, Silt'e | 13, Kafa | 14, Other",,,,,,[country]=1,y,,,,,
mother_ethnicity_ethiopia_other,participant_information,,text,"If Other, specify.",,,,,,,[mother_ethnicity_ethiopia]=14,y,,,,,
first_language_nigeria,participant_information,,dropdown,"What is your first language?","1, Igbo | 2, Yoruba | 3, Hausa | 4, Fulani | 5, Other",,,,,,[country]=2,y,,,,,
other_first_language_nigeria,participant_information,,text,"If Other, specify.",,,,,,,[first_language_nigeria]=5,,,,,,
first_language_ethiopia,participant_information,,dropdown,"What is your first language?","1, Afan Oromo | 2, Amharic | 3, Somali | 4, Tigrinya | 5, Sidaamu Afoo | 6, Guragie | 7, Wolaitta | 8, Hadiyya | 9, Afar | 10, Gamo | 11, Gedeo | 12, Silt'e | 13, Kafa | 14, Other",,,,,,[country]=1,y,,,,,
other_language_ethiopia,participant_information,,text,"If Other, specify.",,,,,,,[other_lang_used_ethiopia]=14,y,,,,,
father_first_language_nigeria,participant_information,,dropdown,"What is your father's first language?","1, Igbo | 2, Yoruba | 3, Hausa | 4, Fulani | 5, Other",,,,,,[country]=2,y,,,,,
father_first_language_nigeria_other,participant_information,,text,"If Other, Specify.",,,,,,,[father_first_language_nigeria]=5,,,,,,
mother_first_language_nigeria,participant_information,,dropdown,"What is your mother's first language?","1, Igbo | 2, Yoruba | 3, Hausa | 4, Fulani | 5, Other",,,,,,[country]=2,y,,,,,
mother_first_language_nigeria_other,participant_information,,text,"If Other, specify.",,,,,,,[mother_first_language_nigeria]=5,,,,,,
father_first_language_ethiopia,participant_information,,dropdown,"What is your father's first language?","1, Afan Oromo | 2, Amharic | 3, Somali | 4, Tigrinya | 5, Sidaamu Afoo | 6, Guragie | 7, Wolaitta | 8, Hadiyya | 9, Afar | 10, Gamo | 11, Gedeo | 12, Silt'e | 13, Kafa | 14, Other",,,,,,[country]=1,y,,,,,
father_first_language_ethiopia_other,participant_information,,text,"If Other, specify.",,,,,,,[father_first_language_ethiopia]=14,,,,,,
mother_first_language_ethiopia,participant_information,,dropdown,"What is your mother's first language?","1, Afan Oromo | 2, Amharic | 3, Somali | 4, Tigrinya | 5, Sidaamu Afoo | 6, Guragie | 7, Wolaitta | 8, Hadiyya | 9, Afar | 10, Gamo | 11, Gedeo | 12, Silt'e | 13, Kafa | 14, Other",,,,,,[country]=1,y,,,,,
mother_first_language_ethiopia_other,participant_information,,text,"If Other, specify.",,,,,,,[mother_first_language_ethiopia]=14,,,,,,
had_formal_education,socioeconomic_status,,yesno,"Have you ever had formal education?",,,,,,,,y,,,,,
highest_level_education,socioeconomic_status,,dropdown,"What is the highest level of education you have reached?","1, Primary | 2, Secondary | 3, Tertiary",,,,,,[had_formal_education]=1,y,,,,,
father_had_formal_education,socioeconomic_status,,yesno,"Did your father have formal education?",,,,,,,,y,,,,,
father_highest_level_of_education,socioeconomic_status,,dropdown,"Father's highest level of formal education","1, Primary | 2, Secondary | 3, Tertiary",,,,,,[father_had_formal_education]=1,y,,,,,
mother_had_formal_education,socioeconomic_status,,yesno,"Did your mother have formal education?",,,,,,,,y,,,,,
mother_highest_level_of_education,socioeconomic_status,,dropdown,"Mother's highest level of formal education","1, Primary | 2, Secondary | 3, Tertiary",,,,,,[mother_had_formal_education]=1,,,,,,
current_employment_status,socioeconomic_status,,dropdown,"What is your current employment status?","1, Self Employment | 2, Formal full-time | 3, Formal part-time | 4, Informal | 5, Unemployed | 6, Prefer not to say",,,,,,,y,,,,,
empl_days_work,socioeconomic_status,,dropdown,"How many days a week do you work?","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7",,,,,,"[current_employment_status]=1 OR [current_employment_status]=2 OR [current_employment_status]=3 OR [current_employment_status]=4",y,,,,,
marital_status,socioeconomic_status,,dropdown,"What is your marital status?","1, Married | 2, Not married but living together with partner | 3, Widowed | 4, Divorced or annulled | 5, Separated | 6, Never been married | 7, Other | 8, Unknown",,,,,,,y,,,,,
household_size,socioeconomic_status,,text,"How many people besides you live in your household?",,,integer,0,70,,,y,,,,,
number_of_rooms,socioeconomic_status,,text,"What is the total number of rooms within the main house and any external structures that are used or can be used by members of the household?",,,integer,0,70,,,y,,,,,
asset_electricity_ethiopia,asset_register,"Does your household have",radio,Electricity,"1, Yes | 2, No",,,,,,[country]=1,y,,,asset_register,,
asset_radio_ethiopia,asset_register,,radio,Radio,"1, Yes | 2, No",,,,,,[country]=1,y,,,asset_register,,
asset_television_ethiopia,asset_register,,radio,Television,"1, Yes | 2, No",,,,,,[country]=1,y,,,asset_register,,
asset_refrigerator_ethiopia,asset_register,,radio,Refrigerator,"1, Yes | 2, No",,,,,,[country]=1,y,,,asset_register,,
asset_electric_mitad_ethiopia,asset_register,,radio,"Electric mitad","1, Yes | 2, No",,,,,,[country]=1,y,,,asset_register,,
asset_table_ethiopia,asset_register,,radio,Table,"1, Yes | 2, No",,,,,,[country]=1,y,,,asset_register,,
asset_chair_ethiopia,asset_register,,radio,Chair,"1, Yes | 2, No",,,,,,[country]=1,y,,,asset_register,,
asset_bed_ethiopia,asset_register,,radio,"A bed with cotton/sponge/spring mattress","1, Yes | 2, No",,,,,,[country]=1,y,,,asset_register,,
asset_bank_account_ethiopia,asset_register,,radio,"Does any member of your household have a bank account?","1, Yes | 2, No",,,,,,[country]=1,y,,,,,
asset_water_source_ethiopia,asset_register,,radio,"What is the main source of drinking water for members of your household?","1, Piped to yard/plot | 2, Other",,,,,,[country]=1,y,,,,,
asset_other_water_source_ethiopia,asset_register,,text,"If Other, specify",,,,,,,[asset_water_source_ethiopia]=2,y,,,,,
asset_toilet_facility_ethiopia,asset_register,,radio,"What kind of toilet facility do members of your household usually use?","1, Pit latrine without slab/open pit | 2, No facility/bush/field | 3, Oher",,,,,,[country]=1,y,,,,,
asset_other_toilet_facility_ethiopia,asset_register,,text,"If Other, Specify",,,,,,,[asset_toilet_facility_ethiopia]=3,y,,,,,
asset_cooking_fuel_ethiopia,asset_register,,radio,"What type of fuel does your household mainly use for cooking?","1, Electricity | 2, Wood | 3, Other",,,,,,[country]=1,y,,,,,
asset_other_cooking_fuel_ethiopia,asset_register,,text,"If Other, Specify.",,,,,,,[asset_cooking_fuel_ethiopia]=3,y,,,,,
asset_floor_material_ethiopia,asset_register,,radio,"What is the main material of the floor in your household?","1, Earth/sand | 2, Other",,,,,,[country]=1,y,,,,,
asset_other_floor_material_ethiopia,asset_register,,text,"If Other, Specify.",,,,,,,[asset_floor_material_ethiopia]=2,y,,,,,
asset_wall_material_ethiopia,asset_register,,radio,"What is the main material of the exterior walls in your household?","1, Bamboo with mud | 2, Other",,,,,,[country]=1,y,,,,,
asset_other_wall_material_ethiopia,asset_register,,text,"If Other, Speficy.",,,,,,,[asset_wall_material_ethiopia]=2,y,,,,,
asset_roof_material_ethiopia,asset_register,,radio,"What is the main material of the roof in your household?","1, Metal/Corrugated iron | 2, Other",,,,,,[country]=1,y,,,,,
asset_other_roof_material_ethiopia,asset_register,,text,"If Other, Specify.",,,,,,,[asset_roof_material_ethiopia]=2,y,,,,,
asset_water_source_nigeria,asset_register,,radio,"What is the main source of drinking water for members of your household?","1, Tap linked to state water supply (piped water) | 2, Borehole | 3, Dug well | 4, Spring | 5, Collected rainwater (tank) | 6, Tanker Truck (delivered water) | 7, Surface water (river/stream, pond)",,,,,,[country]=2,y,,,,,
asset_water_source_share_nigeria,asset_register,,yesno,"Do you share this water source with other households?",,,,,,,[country]=2,y,,,,,
asset_toilet_facility_nigeria,asset_register,,radio,"What kind of toilet facility do members of your household usually use?","1, Flush or pour flush toilet | 2, Pit latrine (private/improved) | 3, Bucket Toilet | 4, Open latrine | 5, Bush/field (no facility)",,,,,,[country]=2,y,,,,,
asset_toilet_facility_share_nigeria,asset_register,,yesno,"Do you share this toilet facility with other households?",,,,,,,[country]=2,y,,,,,
aseet_household_items_nigeria,asset_register,,checkbox,"Does your household have","1, a bed with foam/ cotton /spring mattress | 2, a table | 3, a chair | 4, an electricity connection | 5, a radio | 6, a television | 7, a refrigerator | 8, a cable or satelite TV connection | 9, a generating set (generator)",,,,,,[country]=2,y,,,,,
asset_anyoneinhousehold_hasitemsnigeria,asset_register,,checkbox,"Does anyone in your household have 

","1, a computer/laptop | 2, a fan | 3, an air conditioner | 4, a mobile telephone | 5, a bicycle | 6, a motorcycle | 7, a car",,,,,,[country]=2,y,,,,,
asset_cooking_fuel_nigeria,asset_register,,radio,"What type of fuel does your household mainly use for cooking?","1, Electricity | 2, Gas/ cylinder | 3, Kerosene | 4, Coal/charcoal | 5, Wood | 6, No food cooked in household",,,,,,[country]=2,y,,,,,
asset_cooking_place_nigeria,asset_register,,radio,"Is the cooking usually done in the general house, a separate kitchen, or outdoors?","1, General house | 2, Separate kitchen | 3, Outdoors",,,,,,[country]=2,y,,,,,
asset_floor_nigeria,asset_register,,radio,"What is the floor in your home made of?","1, Bare earth | 2, Covering over bare earth (wood, plastic etc) | 3, Finished floor (eg cement, tiles, finished wood)",,,,,,[country]=2,y,,,,,
asset_roof_nigeria,asset_register,,radio,"What is your roof made of?","1, Natural (thatch, leaves, no roof) | 2, Basic (wood, woven mat) | 3, Metal/zinc, tiles, concrete/cement",,,,,,[country]=2,y,,,,,
asset_rent_nigeria,asset_register,,radio,"Do you own or rent your house or land?","1, Own | 2, Rent",,,,,,[country]=2,y,,,,,
asset_breadwinner_nigeria,asset_register,,text,"How many people does the main breadwinner in the household directly support?",,,,,,,[country]=2,y,,,,,
hfias_section_consent,household_food_insecurity_access_scale_hfias_measu,,yesno,"I prefer not to answer questions in this section.",,,,,,,,y,,,,,
hfias_worry_because_not_enough_food,household_food_insecurity_access_scale_hfias_measu,,yesno,"In the past four weeks, did you worry that your household would not have enough food?",,,,,,,,y,,,,,
hfias_how_often_not_enough_food,household_food_insecurity_access_scale_hfias_measu,,dropdown,"How often did your household not have enough food?","1, Once or twice in the past four weeks | 2, Three to ten times in the past four weeks | 3, More than ten times in the past four weeks",,,,,,[hfias_worry_because_not_enough_food]=1,y,,,,,
hfias_not_able_eat_preffered_foods,household_food_insecurity_access_scale_hfias_measu,,yesno,"In the past four weeks, were you or any household member not able to eat the kinds of foods you preferred because of a lack of resources?",,,,,,,,y,,,,,
hfias_how_often_lack_resources,household_food_insecurity_access_scale_hfias_measu,,dropdown,"How often were you or any household member not able to eat the kinds of foods you preferred because of a lack of resources?","1, Once or twice in the past four weeks | 2, Three to ten times in the past four weeks | 3, More than ten times in the past four weeks",,,,,,[hfias_not_able_eat_preffered_foods]=1,y,,,,,
hfias_eat_limited_variety_foods,household_food_insecurity_access_scale_hfias_measu,,yesno,"In the past four weeks, did you or any household member have to eat a limited variety of foods due to a lack of resources?",,,,,,,,y,,,,,
hfias_how_often_eat_limited,household_food_insecurity_access_scale_hfias_measu,,dropdown,"How often did you or any household member have to eat a limited variety of foods due to a lack of resources?","1, Once or twice in the past four weeks | 2, Three to ten times in the past four weeks | 3, More than ten times in the past four weeks",,,,,,[hfias_eat_limited_variety_foods]=1,y,,,,,
hfias_eat_food_not_want,household_food_insecurity_access_scale_hfias_measu,,radio,"In the past four weeks, did you or any household member have to eat some foods that you really did not want to eat  because of a lack of resources?","0, No | 1, Yes",,,,,,,y,,,,,
hfias_how_often_eat_food_not_want,household_food_insecurity_access_scale_hfias_measu,,dropdown,"How often did you or any household member had to eat some foods that you really did not want to eat because of a lack of resources?","1, Once or twice in the past four weeks | 2, Three to ten times in the past four weeks | 3, More than ten times in the past four weeks",,,,,,[hfias_eat_food_not_want]=1,y,,,,,
hfias_eat_smaller_meals,household_food_insecurity_access_scale_hfias_measu,,radio,"In the past four weeks, did you or any household member have to eat a smaller meal than you felt you needed because there was not enough food?","1, Yes | 0, No",,,,,,,y,,,,,
hfias_how_often_eat_smaller_meals,household_food_insecurity_access_scale_hfias_measu,,dropdown,"How often did you or any household member have to eat a smaller meal than you felt you needed because there was not enough food?","1, Once or twice in the past four weeks | 2, Three to ten times in the past four weeks | 3, More than ten times in the past four weeks",,,,,,[hfias_eat_smaller_meals]=1,y,,,,,
hfias_eat_fewer_meals_in_aday,household_food_insecurity_access_scale_hfias_measu,,radio,"In the past four weeks, did you or any other household member have to eat fewer meals in a day because there was not enough food?","1, Yes | 0, No",,,,,,,y,,,,,
hfias_how_often_eat_fewer_meals_in_aday,household_food_insecurity_access_scale_hfias_measu,,dropdown,"How often did you or any other household member have to eat fewer meals in a day because there was not enough food?","1, Once or twice in the past four weeks | 2, Three to ten times in the past four weeks | 3, More than ten times in the past four weeks",,,,,,[hfias_eat_fewer_meals_in_aday]=1,y,,,,,
hfias_no_food_to_eat,household_food_insecurity_access_scale_hfias_measu,,radio,"In the past four weeks, was there ever no food to eat of any kind in your household because of lack of resources to get food?","1, Yes | 0, No",,,,,,,y,,,,,
how_often_no_food,household_food_insecurity_access_scale_hfias_measu,,dropdown,"How often was there ever no food to eat of any kind in your household because of lack of resources to get food?","1, Once or twice in the past four weeks | 2, Three to ten times in the past four weeks | 3, More than ten times in the past four weeks",,,,,,[hfias_no_food_to_eat]=1,y,,,,,
hfias_sleep_hungry,household_food_insecurity_access_scale_hfias_measu,,radio,"In the past four weeks, did you or any household member go to sleep at night hungry because there was not enough food?","1, Yes | 0, No",,,,,,,y,,,,,
hfias_how_often_sleep_hungry,household_food_insecurity_access_scale_hfias_measu,,dropdown,"How often did you or any household member go to sleep at night hungry because there was not enough food?","1, Once or twice in the past four weeks | 2, Three to ten times in the past four weeks | 3, More than ten times in the past four weeks",,,,,,[hfias_sleep_hungry]=1,y,,,,,
hfias_day_night_without_eating,household_food_insecurity_access_scale_hfias_measu,,radio,"In the past four weeks, did you or any household member go a whole day and night without eating anything because there was not enough food?","1, Yes | 0, No",,,,,,,y,,,,,
hfias_how_often_day_night_without_eating,household_food_insecurity_access_scale_hfias_measu,,dropdown,"How often did you or any household member go a whole day and night without eating anything because there was not enough food?","1, Once or twice in the past four weeks | 2, Three to ten times in the past four weeks | 3, More than ten times in the past four weeks",,,,,,[hfias_day_night_without_eating]=1,y,,,,,
oslo_section_consent,oslo_3_item_social_support_scale_oss3,,yesno,"I prefer not to answer questions in this section.",,,,,,,,y,,,,,
social_support_number_of_people,oslo_3_item_social_support_scale_oss3,,dropdown,"How many people are so close to you that you can count on them if you have serious personal problems?","1, None | 2, 1 or 2 | 3, 3-5 | 4, More than 5",,,,,,,y,,,,,
social_support_concern,oslo_3_item_social_support_scale_oss3,,dropdown,"How much concern do people show in what you are doing ?","5, A lot of concern and interest | 4, Some concern and interest | 3, Uncertain | 2, Little concern and interest | 1, No concern and interest",,,,,,,y,,,,,
social_support_practical_help,oslo_3_item_social_support_scale_oss3,,dropdown,"How easy is it to get practical help from neighbours if you should need it?","5, Very easy | 4, Easy | 3, Possible | 2, Difficult | 1, Very difficult",,,,,,,y,,,,,
specific_disorders_chart,specific_disorders,,descriptive,"Please cross-check the participant's responses with the information on their medical chart.",,,,,,,,,,,,,
specific_disorders_bp_pressure,specific_disorders,"Have you ever been diagnosed with any of the following diseases by a doctor or other health professional?",radio,"High blood pressure","0, No | 1, Yes | 2, Don't know | -8, Decline to answer",,,,,,,y,,,specific_disorders,,
specific_disorder_diabetes,specific_disorders,,radio,Diabetes,"0, No | 1, Yes | 2, Don't know | -8, Decline to answer",,,,,,,y,,,specific_disorders,,
specific_disorders_asthma,specific_disorders,,radio,Asthma,"0, No | 1, Yes | 2, Don't know | -8, Decline to answer",,,,,,,y,,,specific_disorders,,
specific_disorders_epilepsy,specific_disorders,,radio,Epilepsy,"0, No | 1, Yes | 2, Don't know | -8, Decline to answer",,,,,,,y,,,specific_disorders,,
specific_disorders_cancer,specific_disorders,,radio,Cancer,"0, No | 1, Yes | 2, Don't know | -8, Decline to answer",,,,,,,y,,,specific_disorders,,
specific_disorders_kidney_disease,specific_disorders,,radio,"Kidney disease","0, No | 1, Yes | 2, Don't know | -8, Decline to answer",,,,,,,y,,,specific_disorders,,
specific_disorders_stroke,specific_disorders,,radio,Stroke,"0, No | 1, Yes | 2, Don't know | -8, Decline to answer",,,,,,,y,,,specific_disorders,,
specific_disorders_heart_attack,specific_disorders,,radio,"Heart attack","0, No | 1, Yes | 2, Don't know | -8, Decline to answer",,,,,,,y,,,specific_disorders,,
specific_orders_angina,specific_disorders,,radio,Angina,"0, No | 1, Yes | 2, Don't know | -8, Decline to answer",,,,,,,y,,,specific_disorders,,
specific_disorders_tb,specific_disorders,,radio,"Tuberculosis (TB)","0, No | 1, Yes | 2, Don't know | -8, Decline to answer",,,,,,,y,,,specific_disorders,,
specific_disorders_hiv,specific_disorders,,radio,"HIV (Human Immunodeficiency Virus)","0, No | 1, Yes | 2, Don't know | -8, Decline to answer",,,,,,,y,,,specific_disorders,,
specific_disorders_sickle_cell,specific_disorders,,radio,"Sickle Cell","0, No | 1, Yes | 2, Don't know | -8, Decline to answer",,,,,,[country]=2,y,,,specific_disorders,,
specific_disorders_notes_1,specific_disorders,,descriptive,"Blood pressure",,,,,,,,,,,,,
specific_disorder_when_pregnant,specific_disorders,,radio,"Did the high blood pressure only happen when you were pregnant or also at other times?","1, Only when pregnant | 2, Also at other times | 3, Don't know | 4, Declined to answer",,,,,,"[sex]=0 and [specific_disorders_bp_pressure]=1",y,,,,,
specific_disorders_regular_medication,specific_disorders,,radio,"Are you on regular medication for high blood pressure?","0, No | 1, Yes | 2, Don't know | -8, Decline to answer",,,,,,[specific_disorders_bp_pressure]=1,y,,,,,
specific_disorders_notes_2,specific_disorders,,descriptive,Diabetes,,,,,,,,,,,,,
specific_disorders_pregnant_diabetes,specific_disorders,,dropdown,"Did the diabetes only happen when you were pregnant or also at other times?","1, Only when pregnant | 2, Also at other times | 3, Don't know | 4, Decline to answer",,,,,,"[sex]=0 and [specific_disorder_diabetes]=1",y,,,,,
specific_disorders_diabetes_type,specific_disorders,,dropdown,"What type of diabetes is it?","1, Type 1 | 2, Type 2 | 3, Don't know | 4, Decline to answer",,,,,,[specific_disorder_diabetes]=1,y,,,,,
specific_disorders_diabetes_treatment,specific_disorders,,yesno,"Are you doing anything to treat your diabetes?",,,,,,,[specific_disorder_diabetes]=1,y,,,,,
specific_disorders_type_diabetes_treatment,specific_disorders,,dropdown,"Type of diabetes treatment","1, Insulin Injection | 2, Pills (that you swallow) | 3, Special diet | 4, Weight loss | 5, Other (Specify)",,,,,,[specific_disorders_diabetes_treatment]=1,y,,,,,
specific_disorder_other_diabetes_medication,specific_disorders,,text,"if other, specify",,,,,,,[specific_disorders_type_diabetes_treatment]=5,y,,,,,
